Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Randomise questionnaire elements?,Question Key,Response
1,1722336383442,30/07/2024 10:46:23,1722336383345,1,30/07/2024 11:46:23,184566,2,questionnaire-i1ko,,39275097,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1278x1270,,,,PIS and Consent Form,2,595ms,visual,,,,,No,BEGIN QUESTIONNAIRE,
2,1722336404089,30/07/2024 10:46:44,1722336404065,1,30/07/2024 11:46:44,184566,2,questionnaire-i1ko,,39275097,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1261x1270,,,,PIS and Consent Form,2,595ms,visual,,,,,No,birth.date-day,6
3,1722336404169,30/07/2024 10:46:44,1722336404066,1,30/07/2024 11:46:44,184566,2,questionnaire-i1ko,,39275097,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1261x1270,,,,PIS and Consent Form,2,595ms,visual,,,,,No,birth.date-month,2
4,1722336404169,30/07/2024 10:46:44,1722336404066,1,30/07/2024 11:46:44,184566,2,questionnaire-i1ko,,39275097,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1261x1270,,,,PIS and Consent Form,2,595ms,visual,,,,,No,birth.date-year,38
5,1722336404169,30/07/2024 10:46:44,1722336404066,1,30/07/2024 11:46:44,184566,2,questionnaire-i1ko,,39275097,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1261x1270,,,,PIS and Consent Form,2,595ms,visual,,,,,No,sex,Male
6,1722336404169,30/07/2024 10:46:44,1722336404066,1,30/07/2024 11:46:44,184566,2,questionnaire-i1ko,,39275097,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1261x1270,,,,PIS and Consent Form,2,595ms,visual,,,,,No,sex-quantised,1
7,1722336404169,30/07/2024 10:46:44,1722336404066,1,30/07/2024 11:46:44,184566,2,questionnaire-i1ko,,39275097,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1261x1270,,,,PIS and Consent Form,2,595ms,visual,,,,,No,sex-text,
8,1722336404169,30/07/2024 10:46:44,1722336404066,1,30/07/2024 11:46:44,184566,2,questionnaire-i1ko,,39275097,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1261x1270,,,,PIS and Consent Form,2,595ms,visual,,,,,No,Consent1,1
9,1722336404169,30/07/2024 10:46:44,1722336404066,1,30/07/2024 11:46:44,184566,2,questionnaire-i1ko,,39275097,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1261x1270,,,,PIS and Consent Form,2,595ms,visual,,,,,No,Consent2,1
10,1722336404169,30/07/2024 10:46:44,1722336404066,1,30/07/2024 11:46:44,184566,2,questionnaire-i1ko,,39275097,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1261x1270,,,,PIS and Consent Form,2,595ms,visual,,,,,No,Consent3,1
